timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698973687282,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-22,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,1
1698973687292,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-23,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,0
1698973687302,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-24,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,1
1698973687312,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-25,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,0
1698973687321,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-26,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,1
1698973687331,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-27,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,1
1698973687341,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-28,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,0
1698973687352,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-29,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,0
1698973687361,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-30,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,1
1698973687371,2,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-31,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,1
1698973687381,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-32,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,1
1698973687392,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-33,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,0
1698973687402,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:5000 [/127.0.0.1] failed: Connection refused (Connection refused),Thread Group 1-34,text,false,,2637,0,1,1,http://127.0.0.1:5000/get_anime/1,0,0,0
